bid,sum
6192443,"""I am a Genius of Unspeakable Evil and I Want to Be Your Class President"" is about a brilliant young person's ambition to become the class president."
20901080,"Infinity + One is a tale of intertwined paths leading to love, healing, and self-discovery."
28569,"""Praying For Sleep"" is a psychological thriller where a detective with insomnia and haunted memories investigates a sinister plot."
84748,Mr. Midshipman Hornblower is about a young man's naval adventures during the Napoleonic Wars.
5941079,The Fixer Upper is about a couple renovating a dilapidated house.
221885,The Color of Law examines racial segregation and housing inequality caused by government policies in the United States.
5956378,"""Jesus liebt mich"" follows Marie's quest for love and meaning, leading her to unexpected revelations about spirituality and love."
9541,"""Heban"" explores human experiences and colonialism's impact."
1565754,"Our Game is about espionage and international politics, with a thrilling cat and mouse chase between intelligence agents."
161887,"""East"" follows a young woman's transformative journey, revealing surprising revelations about herself and the world."
693238,"""Ramona"" is a coming-of-age novel following the growth of its protagonist."
614718,The Rake And The Reformer is about a rake and a reformer.
314263,"""For your eyes only"" is a thrilling collection of spy stories, highlighting secrecy and espionage."
16332,Third Girl is a novel.
8162346,The Woodcutter is about a skilled woodcutter navigating a treacherous forest.
83763,"""Prey"" is about scientists fighting for survival against a deadly genetic experiment."
180617,"Le avventure di Pinocchio is about a wooden puppet's quest to become a real boy, teaching important life lessons along the way."
1270615,The Long Way Home is about a difficult journey to return home.
10361904,Invalid book title.
13542853,"Trust Me, I'm Lying reveals media manipulation's dark reality."
25663807,"""The Things We Keep"" is about the impact of dementia on two individuals, exploring memory, love, and resilience."
9579671,Snowdrops is about a man trapped in corruption in Moscow.
301538,"The Darkness That Comes Before introduces a world of political conspiracy, war, and sorcery."
6873,In Between the Sheets and Other Stories explores human relationships and experiences.
31299,Hickory Dickory Dock is a crime novel investigating a series of strange events at a student hostel.
2714071,Free-Range Chickens is about natural and organic poultry raising practices.
7264206,This Body of Death is a gripping murder mystery.
104737,A Monstrous Regiment of Women explores the adventures of extraordinary women.
28012,Authentic Happiness explores positive psychology to achieve lasting fulfillment.
9962040,"""In Bed with a Highlander"" is a passionate Scottish romance set in the Highlands, exploring a forbidden love between a headstrong woman and a rugged Highlander."
13003565,The Invaders is about extraterrestrial beings invading Earth and the ensuing struggle between them and humanity.
17731347,"Light My Fire (Dragon Kin, #7) explores the dynamics between dragons and humans in a coexisting world."
40526,Time and Again explores time travel in an engaging narrative.
28269953,La vie des elfes is about elves' lives.
73945,Apologia explores thought and introspection.
522465,Oraculo manual y arte de prudencia is a guidebook for wise decision-making.
16342,Cat Among the Pigeons is a thrilling mystery with unforeseen consequences caused by a disruptive cat.
5640796,"Road Dogs explores crime, redemption, and a dangerous journey towards freedom."
23,The Penguin Dictionary of Troublesome Words is a reference guide for confusing English words.
1525808,El Ingenioso Hidalgo Don Quijote de La Mancha is an adventurous tale of a clever gentleman.
17571292,The Death Class explores life's philosophy through death.
8492805,So Much Closer explores longing for connection as a girl moves to a new city for love.
161099,"Good Night, Mr. Tom is about a young boy evacuated to a village during WWII, finding solace and love with an elderly man named Tom."
741618,"""Sei personaggi in cerca d'autore"" explores the blurred lines between fiction and reality, as six characters interrupt a rehearsal to have their unfinished stories completed on stage."
265767,What's Bred in the Bone explores human nature and the influence of upbringing.
38500,"""Women"" explores the experiences, struggles, and triumphs of women, addressing gender roles, societal expectations, and women's empowerment."
549938,The Cricket on the Hearth is a heartwarming tale about a guardian angel cricket during Christmas.
29236299,"""Gemina"" is a thrilling sci-fi novel."
107896,"""Starter for Ten"" is about a university student named Brian and his journey through quizzes, love, and self-discovery in his pursuit of appearing on a popular TV quiz show."
7173336,The Mountain Between Us is about survival and resilience in the treacherous mountains.
8293938,Moon Over Manifest is about a girl uncovering secrets in her town through a hidden journal.
42607,"""As You Like It"" is a comedic play by William Shakespeare that delves into love, disguise, and gender roles in a pastoral setting."
13131625,"Sweet Damage explores love, obsession, and psychological turmoil."
301736,Guess How Much I Love You is a story about profound parental love.
314584,"""Tommyland"" is about a musician's candid autobiography."
314582,Il Cortegiano is a classic Italian literary work.
8252,Farmer Boy is about Almanzo Wilder's life on a 1860s farm.
87346,"""Vishnevyi sad"" is about ""Cherry Orchard."""
13376363,"Teaching My Mother How to Give Birth is about love, gender, and identity in mother-daughter relationships."
16316,The Big Four is about an intricate mystery surrounding a notorious group.
941226,Jirel of Joiry is a fantasy novel filled with captivating action.
1334860,Hot Mama is the second book in the Bigtime series.
22522293,The Brain's Way of Healing explores groundbreaking discoveries and recovery techniques in neuroplasticity.
6891512,Every day in Tuscany gives insight into life and culture of Tuscany.
2544797,The President's Daughter is a suspenseful political thriller.
537070,Gregor and the Code of Claw is about a young boy named Gregor who embarks on a dangerous journey to decipher a secret code and prevent a war between humans and creatures of the underworld.
23293849,Turbulence is a suspenseful novel with unexpected twists and turns.
128754,Deadly Decisions explores the consequences of life-or-death choices in a gripping thriller.
1044175,La Reine étouffée is a book about a strangled queen.
211619,Spin Control is about media manipulation and political power plays.
179172,"""Objectif Lune"" is about a group of astronauts striving to reach the moon."
179174,"""Le secret de la Licorne"" follows Tintin's thrilling adventure to unravel the hidden secret of a unicorn model ship."
15761418,"The book ""fwj"" does not have any available information."
1156110,Micromegas is a science fiction novella by Voltaire.
18594409,"""Can't We Talk about Something More Pleasant?"" explores the challenges and emotions of navigating the complexities of aging and letting go."
29939115,"Almost Missed You explores love, betrayal, and missed opportunities."
30686326,A espia is a thrilling espionage novel.
162314,Why Men Don't Listen & Women Can't Read Maps is about gender differences in communication.
12901365,"The Deepest Cut explores love, loss, and the haunting impacts of a tragic event."
6505109,"""Roses"" is about the history, cultivation, and symbolism of these delicate flowers."
11276935,Thief's Covenant is a book title.
5598690,"Crash Into Me explores love, loss, and self-discovery."
23635879,"""Si"" is a thrilling mystery novel with unexpected twists and turns, as a detective unravels a complex web of secrets and deception."
16137527,"The Revolution Was Televised analyzes groundbreaking TV dramas, highlighting the transformative impact of characters."
10355662,Stick is about the universal appeal of a simple object.
204279,The Secrets of Jin-shei explores the bonds and secrets of ancient Chinese women.
147842,The High King's Tomb is part of the Green Rider series.
653651,"""Nights at the Circus"" is about a winged trapeze artist captivating audiences with her extraordinary abilities in a fantastical 19th-century circus."
7853137,Think of a Number is a suspenseful and mysterious book with psychological twists.
41707,Atlantis Found is about the search for the lost city of Atlantis.
802147,For My Lady's Heart is a captivating medieval romance.
17902302,"""Connected"" explores human connection in a digital world."
27189194,"One True Loves explores love, loss, and second chances."
61794,"""The Life of Lazarillo de Tormes"" is a story about the experiences and challenges faced by Lazarillo de Tormes."
3002300,Chains is about a young girl's struggle with slavery during the American Revolution.
259031,Why We Buy explores the psychology of consumer behavior and factors influencing buying decisions.
592089,"""The Bar Code Tattoo"" follows a teenager's fight against a mandatory barcode tattoo system in a dystopian world, as she becomes a symbol of rebellion and fights for freedom."
9858517,All These Things I've Done is a thought-provoking novel.
11720382,Catch Me is a gripping and unpredictable novel that captivates readers.
84553,The Man in My Basement is a novel about a complex relationship between a man and a mysterious stranger.
25843439,"The Atlantis Plague is about a deadly plague endangering humanity, uncovering ancient secrets in the race for a cure."
24396876,The Thing About Jellyfish explores a girl's grief after losing her friend.
157685,"Maldoror is a book of poems titled ""Les Chants de Maldoror""."
77604,Fer-De-Lance is a thrilling detective novel.
77607,Homicide Trinity is a gripping crime novel.
41667,My Side of the Mountain is about a boy who embraces nature and survives in the wilderness.
344662,Agatha Raisin and the Perfect Paragon is a thrilling mystery about renowned detective Agatha Raisin.
709734,Free Food for Millionaires explores financial and emotional struggles of a young Korean-American woman in NYC.
236609,Joseph Smith: Rough Stone Rolling explores the life and impact of the Mormon religion's founder.
18603,The Mercy of Thin Air is a captivating and mysterious book.
18079661,"Fear Nothing explores fear's impact on our lives, offering insights and strategies to overcome it."
11045709,When She Woke is a thought-provoking novel.
289728,"""The Pursuit"" is about a thrilling pursuit that pushes characters to their limits."
387562,"The School for Scandal is a comedy about gossip, reputation, and deceit in a school setting."
114151,Private Scandals is a gripping exploration of the hidden secrets and scandals within the lives of the wealthy.
137918,"More, Now, Again is a memoir exploring addiction and the path to recovery."
467505,"Piece of My Heart explores love, loss, and redemption in a woman's journey of self-discovery."
20262502,The Moor's Account is about a Moroccan slave who explores America.
1820055,"Good Calories, Bad Calories challenges accepted beliefs on diet, weight, and disease."
23341607,The Rumor is about the impact of small-town gossip and rumors.
119990,"""Sarah Canary"" follows the mysterious journey of a young woman through 19th-century America."
24751478,"Soundless is about a society without hearing, relying on alternate communication."
7548113,C'etait la guerre des tranchees portrays the harsh reality of trench warfare in World War I.
16810,The Berlin Stories contains two interconnected novellas set in Berlin.
13626692,Evertrue is a gripping tale of fantasy.
154091,"""Mona Lisa Overdrive"" is a sci-fi novel."
59854,"""Secrets"" explores the profound impact of hidden truths on relationships and the human experience."
773864,"Passion's Promise explores desire, love, and sacrifices made for loved ones."
59857,Second Chance delves into redemption and forgiveness.
59853,"""Wings"" explores the world of flying creatures."
18383325,"""The Most Magnificent Thing"" is about a girl's pursuit to create something extraordinary."
15694,Le premier Homme is about Camus' upbringing in French Algeria.
76826,"L'Exil et le Royaume is about exile, turmoil, and the search for meaning in life through diverse characters and situations."
30517474,"The Raqqa Diaries is about a person's escape from the Islamic State in Raqqa, Syria."
15715106,Seraphina: The Audition follows Seraphina's high-stakes audition journey.
132245,"Headlong is a gripping, mysterious novel."
91950,"""Le mythe de Sisyphe"" is a philosophical essay by Albert Camus."
1606783,Olycksfageln is about a group of individuals whose lives are transformed by a tragic event.
23714532,Beautiful Sacrifice is about heartfelt sacrifices and emotional depth.
10401084,Storm is about a group's harrowing fight for survival in an unstoppable tempest.
571397,Purple Place for Dying is an intriguing mystery filled with suspense and unexpected twists.
806777,"""Royal Harlot"" explores the scandalous affair between Countess Castlemaine and King Charles II."
540422,Vita Nuova is a literary work written by an Italian poet.
694226,"""Godaan"" is a novel by Munshi Premchand."
49423,Out of Sheer Rage is about author's struggle to write about D.H. Lawrence amidst procrastination and distractions.
13603689,"Stolen is about a woman's search for her missing child, facing danger and deceit."
26889576,The Big Short reveals the global financial crisis of 2008.
126381,"Purple Hibiscus explores Nigerian family's complexities, covering religion, colonialism, politics, and domestic abuse."
1333139,"""The Ideal Bride"" explores love and marriage."
9912,"The Rules of Attraction explores the lives of college students dealing with love, drugs, and identity."
54120,O Homem Duplicado is a book by José Saramago.
15670,"""On Stranger Tides"" is an adventure-packed novel featuring pirates, magic, and treacherous journeys."
28369,"""Zazie dans le metro"" is a delightful, quirky novel exploring a young girl's humorous and unconventional journey through vibrant Paris."
11309018,The Lost Stories explores forgotten tales.
15739863,1356 is a historical novel set in the 14th century.
584847,Blow Out is about an undercover journalist's race against time to expose a deadly secret.
146487,The Great American Novel is a quintessential literary masterpiece reflecting America's history and culture.
27207328,Dirty Together is the concluding book of The Dirty Billionaire Trilogy.
41490,"""On the Street Where You Live"" explores the secrets and mysteries of an ordinary small town street."
928940,Remember Me is a suspenseful novel about a woman's quest to uncover her forgotten past.
23281640,Gathering Prey is a thrilling novel.
7720252,"Beautiful Malice explores a complex teenage relationship filled with trust, jealousy, and revenge."
6338369,Reheated Cabbage is a collection of humorous and poignant short stories exploring human relationships and everyday absurdities.
6363484,"Southern Lights explores southern beauty, culture, and traditions."
119290,The Feast of Love explores the complexities of human relationships and the impact of love on our lives.
18452,The Painted Bird is about a boy's war-torn journey in Eastern Europe.
517344,"Clementine (Clementine, #1) is the beginning of a series."
3056685,A Quiet Flame follows a detective solving arson cases in a quiet town.
46349,Funny in Farsi is a humorous memoir of an Iranian immigrant's life in America.
2895896,"Silver Bay explores coastal town life, relationships, friendships, and the transformative force of love."
175297,"Off the Road reveals firsthand experiences of Cassady, Kerouac, and Ginsberg during the Beat Generation."
4570679,"Going Too Far explores love, loss, and personal growth."
28660,"The Curse of the Mistwraith explores a complex realm of magic, politics, and fate."
6798492,"""William Wilson"" is about duality and identity in a psychological thriller."
14729,"""War Trash"" explores a Chinese soldier's experiences in the Korean War, providing a unique perspective on the hardships of war."
25564446,The Air He Breathes is a story of healing and love between two broken souls.
56065,"Blue Christmas explores love, loss, and redemption during the Christmas season."
32478630,The Elephant in the Room is about society's unspoken problem.
84737,La coscienza di Zeno is a novel by Italo Svevo.
17668078,"Skin Deep explores hidden secrets, deceptions, and complex human relationships."
13539191,"""Three Parts Dead"" is a book of magic and mystery."
67833,Extreme Programming Explained focuses on embracing change in software development.
7926242,"""Port Mortuary"" delves into the complex realm of forensic pathology and the investigation of enigmatic deaths."
45974,Livro do Desassossego is a book written by Fernando Pessoa.
533465,Balzac et la Petite Tailleuse chinoise is a novel by Dai Sijie.
16060461,Down for the Count explores the complexities of boxing.
759156,Gone Too Far is part of the Troubleshooters series.
121645,Death Comes as the End is a book about death.
6646964,"""Hy bn yqZn"" is a mysterious tale."
23310763,Night Owls explores the connection between two unconventional individuals and how it brightens their lives.
77394,Rainbow Valley is about the adventures of the Blythe children in a small town.
32502,Angels Flight is about a book.
46227,Ask the dust is about a young writer in 1930s Los Angeles.
7114042,"""Demon Blood"" is about Guardians battling demonic forces in a world of supernatural conflicts, revealing the secrets within their blood."
12448,"Look Homeward, Angel is a novel by Thomas Wolfe."
13049069,Soulbound explores human emotions and connection.
32421,"Velocity is a thrilling, fast-paced book."
14069,Throne of Jade is a captivating novel.
14064,"""I Am Legend"" is about the last human survivor living in a world overrun by vampires, exploring themes of loneliness and our instinct to stay alive."
754771,L'Histoire d'une Ame is a spiritual autobiography.
27064345,"""The Mandibles: A Family, 2029-2047"" depicts the Mandible family's struggles during economic collapse and societal turmoil."
3112850,Lament reveals the hidden truth of the faerie realm through a young girl's journey.
12649,Les Confessions is Rousseau's personal memoir.
163653,"""The Tar-Aiym Krang"" is a thrilling science fiction adventure where Flinx uncovers a universe-altering secret."
29547,Everyone Worth Knowing is about valuable and important individuals.
317999,The Electric Michelangelo is about an artist's exploration of identity and passion in the early 20th century.
8858,Death of a Poison Pen is a suspenseful mystery with intricate twists.
316845,The Sword in the Stone is a fantasy novel by T.H. White.
12890,"Barabbas is about the life of a fictional character, exploring his choices in biblical times."
13146,"""Black Market"" is about the perilous realm of illicit trade and those who risk everything to obtain banned commodities."
52309,An Introduction and Notes is a comprehensive guide on a specific subject.
490471,"""The Devil to Pay"" is a suspenseful story of one man's quest to outsmart a deceitful adversary, raising questions of trust and the cost of redemption."
7307795,"""Started Early, Took My Dog"" is a captivating story."
48862,Brighton Rock is a novel by Graham Greene.
15811568,"""Six Years"" is a captivating novel filled with mystery and emotional turmoil."
1845050,Beginner's Greek is an introductory book for beginner-level learners of the Greek language.
845501,The Fifth Head of Cerberus explores identity and colonialism on a distant planet.
778990,Timescape is about the implications of time travel.
987217,Dinosaur Planet is an exhilarating journey to a prehistoric world dominated by dinosaurs.
535754,Reforming a Rake is about a rake's personal transformation journey.
2239881,A Cold Dark Place is a suspenseful and mysterious journey.
108067,Ava's Man is about Seabiscuit Ross's resilience against adversity.
2348385,Claymore: The Souls of the Fallen is a thrilling fantasy novel that delves into the souls of the fallen.
8968,The Vampire Prince is about a powerful prince's journey in a treacherous vampire world.
17849112,World After explores post-apocalyptic challenges faced by survivors in a dangerous world.
22749750,The Turner House is about a complex African-American family and their relationship with their ancestral home.
10650803,Beauty Dates the Beast is about beauty and relationships.
24781,The High King is about a young leader navigating the trials of ruling a kingdom.
14865,"""Vanishing Acts"" is a captivating novel of mystery and suspense."
8482928,Twelve Days of Christmas is about a lover who gives his sweetheart gifts over twelve days.
34605,The Damnation Game explores obsession and consequences in a gripping horror story.
10283787,"It Gets Better offers uplifting stories, providing hope for LGBTQ+ individuals."
125333,The Encounter is about unexpected meetings and their consequences.
18668056,"The Glass Sentence follows Sophia's quest to rescue her missing uncle in a world of coexisting time periods, encountering dangers and unique civilizations."
12483622,"""From This Moment On"" explores love, loss, and second chances, emphasizing forgiveness and living in the present moment."
220937,The House on the Borderland is about mysterious events in a spiritually liminal house.
10619,Rose Madder is a thrilling Stephen King novel.
18143905,"The Opposite of Loneliness captures youth, hope, and the bittersweet intersection of life and literature."
97333,At Swim-Two-Birds is a novel.
123479,Rasen is about the horrifying consequences of real urban legends.
26759,Dark Water is a suspenseful and thrilling journey with unexpected twists.
14028,Xue Guo explores China's heritage and natural beauty.
67141,"Il disprezzo is about exploring marriage, love, infidelity, and relationships."
25937671,A Mother's Reckoning is about a mother's journey after a tragedy.
374166,Chopping Spree is a suspenseful mystery.
209194,The Man in the Brown Suit is a thrilling mystery.
18505844,Teemestarin kirja is a novel by Emmi Itäranta.
16059350,Earth Afire is about humanity's battle against an impending alien invasion.
107273,"Lost Christianities explores ancient Christian beliefs, battles for authority, and forgotten traditions."
234232,A Suitable Vengeance delves into hidden truths and the pursuit of retribution.
43049,"""The Sea Wolf"" is about a shipwreck survivor's journey aboard a brutal captain's vessel, exploring themes of power, morality, and survival."
14978,Star Wars: Labyrinth of Evil is about the events before the Battle of Coruscant.
14976,Return to Labyrinth is the beginning of a series.
15774762,Don't Tempt Me is the fourth book in the Georgian series.
5853604,Invalid title provided
129030,"""Wormwood, Gentleman Corpse: Birds, Bees, Blood & Beer"" follows the undead gentleman Wormwood as he encounters supernatural elements with a dash of dark humor."
52635,"""The Hellbound Heart"" is a terrifying exploration of desire and its horrific consequences."
716132,O Primo Basilio is a Portuguese novel by Eça de Queirós.
19117,Ottsy i deti is a classic novel by Ivan Turgenev.
184913,Peterburg is a novel by Andrei Bely.
1924981,High Crimes explores the impact of greed on Mount Everest.
7331,The Father Christmas Letters is a collection of enchanting letters from Father Christmas.
37586,The Lost Colony investigates the perplexing vanishing of Roanoke Colony.
25168121,Axel is about a man's journey of self-discovery through personal loss and inner conflicts.
10174795,"Glow explores self-discovery, love, and identity."
599919,"""The Curse of the Kings"" is a captivating tale of ancient power, treachery, and redemption."
27401883,"When I'm Gone explores love, loss, and enduring legacies."
534274,The Solace of Leaving Early is thought-provoking.
156152,Tales of Mystery and Imagination is a collection of captivating and enigmatic stories.
477338,Blue Is for Nightmares is about a girl who predicts the future through her dreams and must stop a dangerous plot.
80313,Dialogues Concerning Natural Religion explores arguments on the existence and nature of God.
6676685,"This book is a collection of touching poems and musings, delving into love, loss, and the allure of nature, guiding readers to introspection and emotional resonance."
15998328,Duel with the Devil explores the collaboration between Alexander Hamilton and Aaron Burr as they tackle America's first high-profile murder case.
7811050,Being Wrong explores human fallibility and misinterpretation.
7202831,Ice Cold is a suspenseful thriller exploring mysterious disappearances in a desolate town.
29736099,House of Furies is a suspenseful novel about secrets and revenge in a mysterious mansion.
2164457,"Blind Faith explores trust, belief, and the consequences of blindly following ideologies."
15843281,That Time I Joined the Circus is about a person's adventures with a circus troupe.
78982,"Not a Penny More, Not a Penny Less is a thrilling novel about four strangers seeking revenge on a conman."
6289926,Barely Bewitched is the second book in a series.
170625,"Still Watch is a suspenseful thriller with secrets, mysteries, and unexpected twists."
6934395,The Vampire Diaries: The Return: Midnight continues the vampire saga.
20454977,Sleep Donation explores a sleep epidemic and its societal repercussions.
141495,"Wonderland Avenue is about captivating stories of glamour and excess, providing a glimpse into a world of fame and indulgence."
326679,Emile ou de l'education examines education and upbringing.
25430578,Cure is about the power of the mind in influencing physical health.
1339023,Blood and Circuses explores the secrets and rivalries within the captivating world of the circus.
1846825,Death By Water explores the symbolism and power of water in different cultures.
13707738,"Boomerang is about the global financial crisis and its aftermath, exploring the causes and consequences of the meltdown in various countries such as Iceland, Greece, Ireland, and the United States."
395922,The Awakening is about Edna's transformative journey towards personal freedom.
780581,Bel-Ami is a novel by Guy de Maupassant.
12040405,No One is Here Except All of Us explores imagination and resilience in adversity.
26109391,"Highly Illogical Behavior depicts a teenager with severe anxiety who forms an unlikely friendship with an ambitious girl seeking to ""fix"" him."
546255,The Secret of Red Gate Farm is a mystery where Nancy Drew uses her detective skills to uncover hidden secrets.
1528410,"""Nachtzug nach Lissabon"" is a mysterious journey of self-discovery in the streets of Lisbon."
